Date,MarketID,CommodityID,Price,PricePerKg,PricePerLitre,UsdPrice,Unit,PriceType
2006-10-15,185,67,1053.0,11.7,,14.6,90 KG,Wholesale
2006-10-15,185,148,621.11,12.4222,,8.61,50 KG,Wholesale
2006-10-15,185,65,1020.0,11.333333333333334,,14.14,90 KG,Wholesale
2006-10-15,185,50,38.18,38.18,,0.53,KG,Wholesale
2006-10-15,185,262,2400.0,26.666666666666668,,33.28,90 KG,Wholesale
2006-11-15,191,50,29.9,29.9,,0.42,KG,Wholesale
2006-11-15,191,262,2774.0,30.822222222222223,,39.1,90 KG,Wholesale
2006-11-15,187,67,19.0,19.0,,0.27,KG,Retail
2006-11-15,187,262,44.0,44.0,,0.62,KG,Retail
2006-11-15,190,67,20.0,20.0,,0.28,KG,Retail
2006-11-15,184,55,27.0,67.5,,0.38,400 G,Retail
2006-11-15,184,51,14.19,14.19,,0.2,KG,Wholesale
2006-11-15,184,67,1273.6,14.15111111111111,,17.95,90 KG,Wholesale
2006-11-15,184,148,955.55,19.111,,13.47,50 KG,Wholesale
2006-11-15,184,96,135.0,,135.0,1.9,L,Retail
2006-11-15,184,50,34.03,34.03,,0.48,KG,Wholesale
2006-11-15,189,67,31.0,31.0,,0.44,KG,Retail
2006-11-15,186,51,14.0,14.0,,0.2,KG,Wholesale
2006-11-15,186,67,1400.0,15.555555555555555,,19.73,90 KG,Wholesale
2006-11-15,186,148,894.44,17.8888,,12.61,50 KG,Wholesale
2006-11-15,186,65,1670.0,18.555555555555557,,23.54,90 KG,Wholesale
2006-11-15,186,50,31.47,31.47,,0.44,KG,Wholesale
2006-11-15,186,262,3200.0,35.55555555555556,,45.1,90 KG,Wholesale
2006-11-15,188,67,28.0,28.0,,0.39,KG,Retail
2006-11-15,185,51,10.9,10.9,,0.15,KG,Wholesale
2006-11-15,185,67,1000.0,11.11111111111111,,14.09,90 KG,Wholesale
2006-11-15,185,148,736.11,14.7222,,10.38,50 KG,Wholesale
2006-11-15,185,50,42.22,42.22,,0.6,KG,Wholesale
2006-11-15,185,262,2675.0,29.72222222222222,,37.7,90 KG,Wholesale
2006-12-15,191,50,27.81,27.81,,0.4,KG,Wholesale
2006-12-15,187,67,20.0,20.0,,0.29,KG,Retail
